================================================================================
STRESS TEST RESULTS: Spread & Slippage Grid
================================================================================


================================================================================
SCENARIO 1/16: spread=30pts, slippage=0pts
================================================================================


[STDERR]
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | M1 rows=353292 | M15 rows=23609
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-01 | Balance: 1000.00
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-04 | Balance: 1000.00
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-05 | Balance: 1023.53
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-06 | Balance: 1027.00
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-07 | Balance: 1015.61
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-08 | Balance: 1022.57
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-09 | Balance: 1025.34
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-11 | Balance: 1025.34
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-12 | Balance: 1061.17
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-13 | Balance: 1072.51
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-14 | Balance: 1072.66
2026-01-07 15:38:30 | INFO | BOT_VP_BACKTEST | New day: 2021-01-15 | Balance: 1102.87
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-16 | Balance: 1099.76
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-18 | Balance: 1099.76
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-19 | Balance: 1119.13
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-20 | Balance: 1116.12
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-21 | Balance: 1134.79
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-22 | Balance: 1145.13
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-23 | Balance: 1157.57
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-25 | Balance: 1157.57
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-26 | Balance: 1147.61
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-27 | Balance: 1138.62
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-28 | Balance: 1130.76
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-29 | Balance: 1134.97
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-01-30 | Balance: 1136.31
2026-01-07 15:38:31 | INFO | BOT_VP_BACKTEST | New day: 2021-02-01 | Balance: 1136.31
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-02 | Balance: 1119.25
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-03 | Balance: 1132.45
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-04 | Balance: 1122.12
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-05 | Balance: 1156.53
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-06 | Balance: 1154.45
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-08 | Balance: 1154.45
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-09 | Balance: 1170.81
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-10 | Balance: 1195.52
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-11 | Balance: 1194.79
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-12 | Balance: 1208.24
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-13 | Balance: 1221.05
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-15 | Balance: 1221.05
2026-01-07 15:38:32 | INFO | BOT_VP_BACKTEST | New day: 2021-02-16 | Balance: 1230.23
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-02-17 | Balance: 1239.61
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-02-18 | Balance: 1227.05
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-02-19 | Balance: 1236.15
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-02-20 | Balance: 1235.85
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-02-22 | Balance: 1235.85
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-02-23 | Balance: 1237.46
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-02-24 | Balance: 1236.05
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-02-25 | Balance: 1248.83
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-02-26 | Balance: 1248.35
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-02-27 | Balance: 1247.29
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-03-01 | Balance: 1247.29
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-03-02 | Balance: 1253.08
2026-01-07 15:38:33 | INFO | BOT_VP_BACKTEST | New day: 2021-03-03 | Balance: 1265.08
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-04 | Balance: 1266.22
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-05 | Balance: 1281.04
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-06 | Balance: 1277.86
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-08 | Balance: 1277.86
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-09 | Balance: 1284.25
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-10 | Balance: 1291.20
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-11 | Balance: 1289.04
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-12 | Balance: 1302.59
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-13 | Balance: 1315.10
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-15 | Balance: 1315.10
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-16 | Balance: 1321.54
2026-01-07 15:38:34 | INFO | BOT_VP_BACKTEST | New day: 2021-03-17 | Balance: 1320.14
2026-01-07 15:38:35 | INFO | BOT_VP_BACKTEST | New day: 2021-03-18 | Balance: 1318.34
2026-01-07 15:38:35 | INFO | BOT_VP_BACKTEST | New day: 2021-03-19 | Balance: 1319.41
2026-01-07 15:38:35 | INFO | BOT_VP_BACKTEST | New day: 2021-03-20 | Balance: 1308.41
2026-01-07 15:38:35 | INFO | BOT_VP_BACKTEST | New day: 2021-03-22 | Balance: 1308.41
2026-01-07 15:38:35 | INFO | BOT_VP_BACKTEST | New day: 2021-03-23 | Balance: 1309.33
